time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.186463521654,0.22605215458,11.9589413682,0.0421787672958,0.0463212798461,0.0,-0.401403701587,0.444278246695,2.70060377991,-0.0556870221893,-0.109377127363,0.0,441.64069461417046,440.2260587360819,439.1587883457707,439.8129096649445
1.3800000000000008,-0.211380371158,0.253478410474,12.1216728652,0.0423481855894,0.0397758389372,0.0,-0.428569698213,0.469923564458,2.7237493784,-0.0363272097504,-0.112449773885,0.0,420.01604518486687,419.73791311324305,418.4791631481363,420.15928052636275
1.4400000000000008,-0.238108102774,0.282761599308,12.2934651085,0.0403907865434,0.0342698589225,0.0,-0.461611791358,0.505893904952,3.00200363178,-0.0322256401761,-0.10138823547,0.0,496.98274894583574,497.7837915209486,497.1682066234156,497.4682442564872
1.5000000000000009,-0.266503008114,0.313947323768,12.4768053107,0.0390929504696,0.028177351965,0.0,-0.48425382234,0.533473731352,3.10907788566,-0.0246096209778,-0.102009212979,0.0,447.9271686681913,447.86781388171454,448.081371127085,448.69982743582267
1.560000000000001,-0.296142094509,0.3467612323,12.6665705086,0.0379160908263,0.0248727404297,0.0,-0.503391651217,0.560193916441,3.21614522055,-0.0319258158904,-0.121631487708,0.0,449.9155981873758,448.31377195271,448.58821196973116,447.9935421160524
1.620000000000001,-0.326843323473,0.381175492461,12.8625755057,0.0450420405031,0.0182005282764,0.0,-0.519310374537,0.587632366352,3.31704841445,-0.000165007353105,-0.13158005516,0.0,448.97470610302867,448.15274441842985,444.9373607391293,447.5300348109364
1.680000000000001,-0.358325940543,0.417253472333,13.0621245943,0.0472296018825,0.0137422482421,0.0,-0.529696550233,0.615173710998,3.33453330108,-0.0176479554596,-0.112438199853,0.0,419.8877905836772,421.52999414358464,422.5067101022408,420.9967110788309
1.740000000000001,-0.390327792304,0.454902777282,13.2602084137,0.0499089008254,0.0123649712581,0.0,-0.536911800166,0.64000055278,3.26844165799,0.00236573732315,-0.0882277928988,0.0,391.5531697491014,393.7880995209103,391.73621790943514,393.59303363776644
1.8000000000000012,-0.4227993123,0.494363870093,13.4600724582,0.0500561134031,0.00784250393078,0.0,-0.544985249482,0.675364106494,3.39333419948,-0.000273657486335,-0.079733725235,0.0,455.9517176307006,456.62404613934467,454.2343460884864,454.0225962210158
1.8600000000000012,-0.455639604437,0.535789015363,13.6641388441,0.0520152820875,0.00402954804319,0.0,-0.549363679806,0.705629612969,3.40882500726,0.0139701668937,-0.0917956199762,0.0,421.4764647900075,420.4264723280693,420.63944986770343,421.87113802728595
1.9200000000000013,-0.488676493703,0.579210031815,13.8719392797,0.0532107654166,6.2817114825,0.0,-0.551303295674,0.741846470711,3.51752204941,0.0061133744846,-0.0943980404641,0.0,450.9057918370742,450.68838202440946,451.7026041216366,451.0684169371524
1.9800000000000013,-0.521722348654,0.624732809912,14.0844772992,0.0547887300672,6.27680859194,0.0,-0.549775595737,0.775704182987,3.56691673895,0.0170286352318,-0.105229890685,0.0,433.4988762724117,432.57914096882166,432.6126667863352,433.53071398445087
2.0400000000000014,-0.554539119109,0.6726510957,14.3050971175,0.0672572779584,6.27054050628,0.0,-0.543374159659,0.823070322213,3.78625592119,-0.0212531307467,-0.103798727492,0.0,485.544787350993,485.6435901743582,486.2931849221419,483.4169912561122
2.1000000000000014,-0.586769309881,0.72398411464,14.5434884995,0.07008337964,6.26641481748,0.0,-0.530421695535,0.888370654646,4.15878888413,-0.0446702515723,-0.120927691323,0.0,529.491564696009,528.3033001976661,529.9952771351968,528.3831753528067
2.1600000000000015,-0.61825916655,0.778630821801,14.7947375784,0.0694789725206,6.25949543535,0.0,-0.518592563891,0.933119174604,4.2159658734,-0.0616989162332,-0.128593435792,0.0,440.2843735134537,439.6356240897844,441.7702624953444,440.36212591435793
